Date,Open,High,Low,Close,Adj Close,Volume
11/23/20,503.5,526,501.790009,521.849976,521.849976,50260300
11/24/20,540.400024,559.98999,526.200012,555.380005,555.380005,53648500
11/25/20,550.059998,574,545.369995,574,574,48930200
11/27/20,581.159973,598.780029,578.450012,585.76001,585.76001,37561100
11/30/20,602.210022,607.799988,554.51001,567.599976,567.599976,63003100
12/1/20,597.590027,597.849976,572.049988,584.76001,584.76001,40103500
12/2/20,556.440002,571.539978,541.210022,568.820007,568.820007,47775700
12/3/20,590.02002,598.969971,582.429993,593.380005,593.380005,42552000
12/4/20,591.01001,599.039978,585.5,599.039978,599.039978,29401300
12/7/20,604.919983,648.789978,603.049988,641.76001,641.76001,56309700
12/8/20,625.51001,651.280029,618.5,649.880005,649.880005,64265000
12/9/20,653.690002,654.320007,588,604.47998,604.47998,71291200
12/10/20,574.369995,627.75,566.340027,627.070007,627.070007,67083200
12/11/20,615.01001,624,596.799988,609.98999,609.98999,46475000
12/14/20,619,642.75,610.200012,639.830017,639.830017,52040600
12/15/20,643.280029,646.900024,623.799988,633.25,633.25,45071500
12/16/20,628.22998,632.5,605,622.77002,622.77002,42095800
12/17/20,628.190002,658.820007,619.5,655.900024,655.900024,56270100
12/18/20,668.900024,695,628.539978,695,695,222126200
12/21/20,666.23999,668.5,646.070007,649.859985,649.859985,58045300
12/22/20,648,649.880005,614.22998,640.340027,640.340027,51716000
12/23/20,632.200012,651.5,622.570007,645.97998,645.97998,33173000
12/24/20,642.98999,666.090027,641,661.77002,661.77002,22865600
12/28/20,674.51001,681.400024,660.799988,663.690002,663.690002,32278600
12/29/20,661,669.900024,655,665.98999,665.98999,22910800
12/30/20,672,696.599976,668.359985,694.780029,694.780029,42846000
12/31/20,699.98999,718.719971,691.119995,705.669983,705.669983,49649900
1/4/21,719.460022,744.48999,717.190002,729.77002,729.77002,48638200
1/5/21,723.659973,740.840027,719.200012,735.109985,735.109985,32245200
1/6/21,758.48999,774,749.099976,755.97998,755.97998,44700000
1/7/21,777.630005,816.98999,775.200012,816.039978,816.039978,51498900
1/8/21,856,884.48999,838.390015,880.02002,880.02002,75055500
1/11/21,849.400024,854.429993,803.619995,811.190002,811.190002,59301600
1/12/21,831,868,827.340027,849.440002,849.440002,46270700
1/13/21,852.76001,860.469971,832,854.409973,854.409973,33312500
1/14/21,843.390015,863,838.75,845,845,31266300
1/15/21,852,859.900024,819.099976,826.159973,826.159973,38777600
1/19/21,837.799988,850,833,844.549988,844.549988,25367000
1/20/21,858.73999,859.5,837.280029,850.450012,850.450012,25665900
1/21/21,855,855.719971,841.419983,844.98999,844.98999,20521100
1/22/21,834.309998,848,828.619995,846.640015,846.640015,20066500
1/25/21,855,900.400024,838.820007,880.799988,880.799988,41173400
1/26/21,891.380005,895.900024,871.599976,883.090027,883.090027,23131600
1/27/21,870.349976,891.5,858.659973,864.159973,864.159973,27334000
1/28/21,820,848,801,835.429993,835.429993,26378000
1/29/21,830,842.409973,780.099976,793.530029,793.530029,34990800
2/1/21,814.289978,842,795.559998,839.809998,839.809998,25391400
2/2/21,844.679993,880.5,842.200012,872.789978,872.789978,24346200
2/3/21,877.02002,878.080017,853.059998,854.690002,854.690002,18343500
2/4/21,855,856.5,833.419983,849.98999,849.98999,15812700
2/5/21,845,864.77002,838.969971,852.22998,852.22998,18566600
2/8/21,869.669983,877.77002,854.75,863.419983,863.419983,20161700
2/9/21,855.119995,859.799988,841.75,849.460022,849.460022,15157700
2/10/21,843.640015,844.820007,800.02002,804.820007,804.820007,36216100
2/11/21,812.440002,829.880005,801.72998,811.659973,811.659973,21622800
2/12/21,801.26001,817.330017,785.330017,816.119995,816.119995,23768300
2/16/21,818,821,792.440002,796.219971,796.219971,19802300
2/17/21,779.090027,799.840027,762.01001,798.150024,798.150024,25996500
2/18/21,780.900024,794.690002,776.27002,787.380005,787.380005,17957100
2/19/21,795,796.789978,777.369995,781.299988,781.299988,18958300
2/22/21,762.640015,768.5,710.200012,714.5,714.5,37269700
2/23/21,662.130005,713.609985,619,698.840027,698.840027,66606900
2/24/21,711.849976,745,694.169983,742.02002,742.02002,36767000
2/25/21,726.150024,737.210022,670.580017,682.219971,682.219971,39023900
2/26/21,700,706.700012,659.51001,675.5,675.5,41089200
3/1/21,690.109985,719,685.049988,718.429993,718.429993,27136200
3/2/21,718.280029,721.109985,685,686.440002,686.440002,23732200
3/3/21,687.98999,700.700012,651.710022,653.200012,653.200012,30208000
3/4/21,655.799988,668.450012,600,621.440002,621.440002,65919500
3/5/21,626.059998,627.840027,539.48999,597.950012,597.950012,89396500
3/8/21,600.549988,620.130005,558.789978,563,563,51787000
3/9/21,608.179993,678.090027,595.210022,673.580017,673.580017,67523300
3/10/21,700.299988,717.849976,655.059998,668.059998,668.059998,60605700
3/11/21,699.400024,702.5,677.179993,699.599976,699.599976,36253900
3/12/21,670,694.880005,666.140015,693.72998,693.72998,33583800
3/15/21,694.090027,713.179993,684.039978,707.940002,707.940002,29335600
3/16/21,703.349976,707.919983,671,676.880005,676.880005,32195700
3/17/21,656.869995,703.72998,651.01001,701.809998,701.809998,40372500
3/18/21,684.289978,689.22998,652,653.159973,653.159973,33224800
3/19/21,646.599976,657.22998,624.619995,654.869995,654.869995,42894000
3/22/21,684.590027,699.619995,668.75,670,670,39512200
3/23/21,675.77002,677.799988,657.51001,662.159973,662.159973,30491900
3/24/21,667.909973,668.02002,630.109985,630.27002,630.27002,33795200
3/25/21,613,645.5,609.5,640.390015,640.390015,39224900
3/26/21,641.869995,643.820007,599.890015,618.710022,618.710022,33852800
3/29/21,615.640015,616.47998,596.02002,611.289978,611.289978,28637000
3/30/21,601.75,637.659973,591.01001,635.619995,635.619995,39432400
3/31/21,646.619995,672,641.109985,667.929993,667.929993,33337300
4/1/21,688.369995,692.419983,659.419983,661.75,661.75,35298400
4/5/21,707.710022,708.159973,684.700012,691.049988,691.049988,41842800
4/6/21,690.299988,696.549988,681.369995,691.619995,691.619995,28271800
4/7/21,687,691.380005,667.840027,670.969971,670.969971,26309400
4/8/21,677.380005,689.549988,671.650024,683.799988,683.799988,23924300
4/9/21,677.77002,680.969971,669.429993,677.02002,677.02002,21437100
4/12/21,685.700012,704.799988,682.090027,701.97998,701.97998,29135700
4/13/21,712.700012,763,710.659973,762.320007,762.320007,44652800
4/14/21,770.700012,780.789978,728.030029,732.22998,732.22998,49017400
4/15/21,743.099976,743.690002,721.309998,738.849976,738.849976,27848900
4/16/21,728.650024,749.409973,724.599976,739.780029,739.780029,27979500
4/19/21,719.599976,725.400024,691.799988,714.630005,714.630005,39686200
4/20/21,717.419983,737.25,710.690002,718.98999,718.98999,35609000
4/21/21,704.77002,744.840027,698,744.119995,744.119995,31215500
4/22/21,741.5,753.77002,718.039978,719.690002,719.690002,35590300
4/23/21,719.799988,737.359985,715.460022,729.400024,729.400024,28370000
4/26/21,741,749.299988,732.609985,738.200012,738.200012,31038500
4/27/21,717.960022,724,703.349976,704.73999,704.73999,29437000
4/28/21,696.409973,708.5,693.599976,694.400024,694.400024,22271000
4/29/21,699.51001,702.25,668.5,677,677,28845400
4/30/21,667.590027,715.469971,666.140015,709.440002,709.440002,40758700
5/3/21,703.799988,706,680.5,684.900024,684.900024,27043100
5/4/21,678.940002,683.450012,657.700012,673.599976,673.599976,29739300
5/5/21,681.059998,685.299988,667.340027,670.940002,670.940002,21901900
5/6/21,680.76001,681.02002,650,663.539978,663.539978,27784600
5/7/21,665.799988,690,660.219971,672.369995,672.369995,23469200
5/10/21,664.900024,665.049988,627.609985,629.039978,629.039978,31392400
5/11/21,599.23999,627.099976,595.599976,617.200012,617.200012,46503900
5/12/21,602.48999,620.409973,586.77002,589.890015,589.890015,33823600
5/13/21,601.539978,606.460022,559.650024,571.690002,571.690002,44184900
5/14/21,583.409973,592.869995,570.460022,589.73999,589.73999,33370900
5/17/21,575.549988,589.72998,561.200012,576.830017,576.830017,32390400
5/18/21,568,596.25,563.380005,577.869995,577.869995,36830600
